id	name	type	population
0500000US39095	"Lucas County, OH"	county	439511
0500000US19153	"Polk County, IA"	county	438307
0500000US47093	"Knox County, TN"	county	436983
310M200US49620	York Metro Area (PA)	msa	436339
0500000US42133	"York County, PA"	county	436339
0500000US22051	"Jefferson Parish, LA"	county	433477
310M200US18580	Corpus Christi Metro Area (TX)	msa	433094
1600000US1304000	"Atlanta, GA"	place	432589
0500000US53011	"Clark County, WA"	county	432549
310M200US39900	Reno Metro Area (NV)	msa	429476
310M200US11700	Asheville Metro Area (NC)	msa	429177
310M200US38940	Port St. Lucie Metro Area (FL)	msa	428801
310M200US42200	Santa Maria Metro Area (CA)	msa	427288
0500000US06083	"Santa Barbara County, CA"	county	427288
0500000US12117	"Seminole County, FL"	county	427184
1600000US0816000	"Colorado Springs, CO"	place	425805
0500000US32031	"Washoe County, NV"	county	425495
310M200US26620	Huntsville Metro Area (AL)	msa	424543
1600000US3137000	"Omaha, NE"	place	422499
310M200US22420	Flint Metro Area (MI)	msa	421575
0500000US26049	"Genesee County, MI"	county	421575
310M200US41500	Salinas Metro Area (CA)	msa	420569
0500000US06053	"Monterey County, CA"	county	420569
310M200US23060	Fort Wayne Metro Area (IN)	msa	419305
0500000US06095	"Solano County, CA"	county	417258
310M200US46700	Vallejo Metro Area (CA)	msa	417258
0500000US51153	"Prince William County, VA"	county	416668
1600000US3755000	"Raleigh, NC"	place	414530
310M200US33660	Mobile Metro Area (AL)	msa	413188
0500000US01097	"Mobile County, AL"	county	413188
310M200US39740	Reading Metro Area (PA)	msa	412078
0500000US42011	"Berks County, PA"	county	412078
310M200US28660	Killeen Metro Area (TX)	msa	412047
310M200US15180	Brownsville Metro Area (TX)	msa	410710
0500000US48061	"Cameron County, TX"	county	410710
1600000US1245000	"Miami, FL"	place	407526
310M200US15940	Canton Metro Area (OH)	msa	404037
310M200US13140	Beaumont Metro Area (TX)	msa	403814
0500000US27037	"Dakota County, MN"	county	402306
310M200US31700	Manchester Metro Area (NH)	msa	402017
0500000US33011	"Hillsborough County, NH"	county	402017
0500000US16001	"Ada County, ID"	county	401673
1600000US0653000	"Oakland, CA"	place	397011
310M200US41420	Salem Metro Area (OR)	msa	394371
1600000US3916000	"Cleveland, OH"	place	394335
1600000US4075000	"Tulsa, OK"	place	393709
0500000US55133	"Waukesha County, WI"	county	391200
0500000US45079	"Richland County, SC"	county	389708
1600000US2743000	"Minneapolis, MN"	place	389112
0500000US72127	"San Juan Municipio, PR"	county	387336
310M200US34820	Myrtle Beach Metro Area (SC-NC)	msa	387012
310M200US11260	Anchorage Metro Area (AK)	msa	386756
0500000US05119	"Pulaski County, AR"	county	386106
1600000US2079000	"Wichita, KS"	place	383703
0500000US12115	"Sarasota County, FL"	county	383094
310M200US19340	Davenport Metro Area (IA-IL)	msa	381142
0500000US41005	"Clackamas County, OR"	county	380532
310M200US37900	Peoria Metro Area (IL)	msa	380163
0500000US04021	"Pinal County, AZ"	county	379128
310M200US41540	Salisbury Metro Area (MD-DE)	msa	378141
0500000US39151	"Stark County, OH"	county	375348
310M200US25060	Gulfport Metro Area (MS)	msa	375259
310M200US33860	Montgomery Metro Area (AL)	msa	374868
1600000US7276770	"San Juan, PR"	place	374129
0500000US36071	"Orange County, NY"	county	373902
1600000US4804000	"Arlington, TX"	place	371267
310M200US22180	Fayetteville Metro Area (NC)	msa	370875
310M200US45220	Tallahassee Metro Area (FL)	msa	370777
0500000US39017	"Butler County, OH"	county	369650
310M200US45940	Trenton Metro Area (NJ)	msa	368094
0500000US34021	"Mercer County, NJ"	county	368094
0500000US29183	"St. Charles County, MO"	county	365101
310M200US26580	Huntington Metro Area (WV-KY-OH)	msa	364749
310M200US25860	Hickory Metro Area (NC)	msa	364501
0500000US42129	"Westmoreland County, PA"	county	364090
0500000US45019	"Charleston County, SC"	county	358736
0500000US18003	"Allen County, IN"	county	358324
1600000US2255000	"New Orleans, LA"	place	357013
0500000US22071	"Orleans Parish, LA"	county	357013
0500000US06061	"Placer County, CA"	county	355924
310M200US42340	Savannah Metro Area (GA)	msa	355473
0500000US37067	"Forsyth County, NC"	county	354656
310M200US21660	Eugene Metro Area (OR)	msa	353382
0500000US41039	"Lane County, OR"	county	353382
1600000US0603526	"Bakersfield, CA"	place	352918
0500000US42077	"Lehigh County, PA"	county	352068
0500000US26161	"Washtenaw County, MI"	county	348560
310M200US11460	Ann Arbor Metro Area (MI)	msa	348560
310M200US40420	Rockford Metro Area (IL)	msa	347452
0500000US48355	"Nueces County, TX"	county	344257
310M200US38660	Ponce Metro Area (PR)	msa	343990
1600000US1271000	"Tampa, FL"	place	343768
0500000US47065	"Hamilton County, TN"	county	340973
1600000US1571550	"Urban Honolulu, HI"	place	340639
1600000US0602000	"Anaheim, CA"	place	340081
0500000US01089	"Madison County, AL"	county	339279
310M200US10380	Aguadilla Metro Area (PR)	msa	335269
0500000US27003	"Anoka County, MN"	county	334027
310M200US36100	Ocala Metro Area (FL)	msa	333503
0500000US12083	"Marion County, FL"	county	333503
1600000US0804000	"Aurora, CO"	place	332820
0500000US12081	"Manatee County, FL"	county	329487
1600000US0669000	"Santa Ana, CA"	place	328719
310M200US28020	Kalamazoo Metro Area (MI)	msa	328660
310M200US34940	Naples Metro Area (FL)	msa	328209
0500000US12021	"Collier County, FL"	county	328209
0500000US51107	"Loudoun County, VA"	county	326477
0500000US34035	"Somerset County, NJ"	county	326207
0500000US37051	"Cumberland County, NC"	county	322033
0500000US42079	"Luzerne County, PA"	county	320827
0500000US51041	"Chesterfield County, VA"	county	320430
0500000US48039	"Brazoria County, TX"	county	319493
1600000US2965000	"St. Louis, MO"	place	318955
0500000US29510	"St. Louis city, MO"	county	318955
310M200US43780	South Bend Metro Area (IN-MI)	msa	318906
0500000US41047	"Marion County, OR"	county	318441
0500000US48027	"Bell County, TX"	county	316144
310M200US43900	Spartanburg Metro Area (SC)	msa	315383
0500000US36087	"Rockland County, NY"	county	315069
310M200US21780	Evansville Metro Area (IN-KY)	msa	312412
0500000US49011	"Davis County, UT"	county	311886
0500000US51087	"Henrico County, VA"	county	311314
310M200US40220	Roanoke Metro Area (VA)	msa	309599
1600000US0662000	"Riverside, CA"	place	309150
1600000US4817000	"Corpus Christi, TX"	place	308993
310M200US28700	Kingsport Metro Area (TN-VA)	msa	308957
310M200US24580	Green Bay Metro Area (WI)	msa	308706
0500000US17111	"McHenry County, IL"	county	308060
310M200US30700	Lincoln Metro Area (NE)	msa	306697
1600000US4261000	"Pittsburgh, PA"	place	306062
0500000US08069	"Larimer County, CO"	county	305798
310M200US22660	Fort Collins Metro Area (CO)	msa	305798
0500000US36001	"Albany County, NY"	county	305279
310M200US17980	Columbus Metro Area (GA-AL)	msa	303626
0500000US39093	"Lorain County, OH"	county	301720
310M200US14500	Boulder Metro Area (CO)	msa	301072
0500000US08013	"Boulder County, CO"	county	301072
0500000US12069	"Lake County, FL"	county	300926
0500000US21067	"Fayette County, KY"	county	300843
1600000US2146027	"Lexington-Fayette, KY"	place	300843
0500000US12033	"Escambia County, FL"	county	300795
310M200US46540	Utica Metro Area (NY)	msa	298634
0500000US42095	"Northampton County, PA"	county	298439
0500000US36027	"Dutchess County, NY"	county	297385
1600000US3915000	"Cincinnati, OH"	place	297150
0500000US33015	"Rockingham County, NH"	county	296718
0500000US48167	"Galveston County, TX"	county	296669
0500000US02020	"Anchorage Municipality, AK"	county	295237
1600000US0203000	"Anchorage, AK"	place	295237
310M200US31180	Lubbock Metro Area (TX)	msa	294530
1600000US0675000	"Stockton, CA"	place	294406
0500000US24027	"Howard County, MD"	county	293821
0500000US17201	"Winnebago County, IL"	county	293384
0500000US08035	"Douglas County, CO"	county	293014
